,page_url,artist,artist_nationality,artist_birthdate,title,image_url,year,gallery,gallery_location,medium,medium_details,size_inches,size_cm,condition,classification,signed,authenticated,framed,currency,price
346,https://www.artsy.net/artwork/raimo-lielbriedis-forma-v,Raimo Lielbriedis,Latvian,1962,Forma V,https://d32dm0rphc51dk.cloudfront.net/-Sitmz4tejIjyuVV4vTLoA/large.jpg,2016,Buy now,Make offer,Photography,"Vintage photography techniques, Platinum palladium print over gold leaves",7 1/10 × 4 7/10 in,18 × 12 cm,NA,Edition 1/5,"Hand-signed by artist, signed recto",Included,Not included,NA,NA
347,https://www.artsy.net/artwork/larry-clark-untitled-lc-01,Larry Clark,American,1943,Untitled (lc-01),https://d32dm0rphc51dk.cloudfront.net/1i9fzDSw25R3xRFcaUryHw/large.jpg,2017,Galerie Brugier-Rigail,"Paris 03, Seoul",Photography,Photography,4 7/10 × 6 7/10 in,12 × 17 × 0.1 cm,NA,This is a unique work.,"Stamped by artist's estate, sticker label, signée au dos",NA,Included,€,350
348,https://www.artsy.net/artwork/peter-max-love-1,Peter Max,American,1937,LOVE,https://d32dm0rphc51dk.cloudfront.net/DkVMIp6LG4kr736nMs6Csg/large.jpg,2008,Art Commerce,Certificate of authenticity,Painting,Acrylic on Canvas,6 × 15 in,15.2 × 38.1 cm,Excellent ,This is a unique work.,"Hand-signed by artist, Hand signed by the artist.",Included,Included,$,"12,500"
349,https://www.artsy.net/artwork/simon-allen-tideline-1-by-simon-allen,Simon Allen,British,1967,Tideline 1 | By Simon Allen,https://d32dm0rphc51dk.cloudfront.net/hUfWqiilyt399nzohstskA/large.jpg,2020,Make offer,THROWN,Design/Decorative Art,Wheel-thrown earthenware with glaze,11 2/5 in diameter,29 cm diameter,NA,This is a unique work.,Not signed,NA,Not included,£,275
350,https://www.artsy.net/artwork/plastic-jesus-in-case-of-emergency-break-glass-gucci-luxury-brand-edition-fire-extinguisher,Plastic Jesus,British,NA,"""In Case of Emergency Break Glass"" Gucci Luxury Brand Edition Fire Extinguisher",https://d32dm0rphc51dk.cloudfront.net/xqawISMPSt1HtX7LN3wJqg/large.jpg,2020,Wallspace,Los Angeles,Mixed Media,"Metal, glass, wooden box",22 × 16 × 8 in,55.9 × 40.6 × 20.3 cm,"Excellent, new",Editions 1-10 of 10 + 5AP,"Hand-signed by artist, front bottom",Included,Included,NA,NA
351,https://www.artsy.net/artwork/sterling-ruby-gossamer,Sterling Ruby,American,1972,GOSSAMER,https://d32dm0rphc51dk.cloudfront.net/EsiaSraG8dR2vNsJbjpFHQ/large.jpg,2015,Gagosian,"New York, Beverly Hills, London, Paris, Le Bourget, Geneva, Basel, Rome, Athens, Central, Hong Kong",Print,Poster,27 × 20 3/4 in,68.6 × 52.7 cm,NA,Edition of 30 + 5AP,Hand-signed by artist,NA,Not included,NA,NA
352,https://www.artsy.net/artwork/plastic-jesus-in-case-of-emergency-break-glass-louis-vuitton-luxury-edition-extinguisher,Plastic Jesus,British,NA,"""In Case of Emergency Break Glass"" Louis Vuitton Luxury Edition Extinguisher",https://d32dm0rphc51dk.cloudfront.net/iCTfTadgprBTRz_MKmWSew/large.jpg,2020,Wallspace,Los Angeles,Mixed Media,"Metal, glass, wood box",22 × 16 × 8 in,55.9 × 40.6 × 20.3 cm,"Excellent, new",Editions 1-10 of 10,"Hand-signed by artist, bottom front",Included,Included,NA,NA
353,https://www.artsy.net/artwork/shai-kremer-gentrification-door-number-2-bedford-stuyvesant-and-bushwick-racial-tensions-2016-light-box,Shai Kremer,Israeli,1974,GENTRIFICATION: Door #2: Bedford-Stuyvesant and Bushwick,https://d32dm0rphc51dk.cloudfront.net/kajdeNE_yvYiI0k0t6BodQ/large.jpg,Racial tensions. 2016. Light box,Art Bond NY,"Manhattan, Brooklyn",Sculpture,"Wood, Glass, Archival Pigment Print, LED Light box.",111 × 56 × 5 in,281.9 × 142.2 × 12.7 cm,NA,This is a unique work.,"Hand-signed by artist, sticker label",Included,Not included,$,"29,000"
354,https://www.artsy.net/artwork/gary-andrew-clarke-bold-abstract-3,Gary Andrew Clarke,British,NA,Bold Abstract 3,https://d32dm0rphc51dk.cloudfront.net/wAelByHOB4X-R-vkvp3ONA/large.jpg,2020,$325,32 9/10 × 39 1/2 in,Print,Hahnemühle 100% cotton rag paper with archival epson inkjet pigments,This work is part of a limited edition set.,11 3/10 × 13 1/2 in,NA,28.7 × 34.3 cm,NA,Included,Not included,E,dition of 250
355,https://www.artsy.net/artwork/shauna-la-alchemy,Shauna La,US,1983,Alchemy,https://d32dm0rphc51dk.cloudfront.net/GhYuHgWJNTze5p0q5A3ajg/large.jpg,2020,"Los Angeles, Zürich",Certificate of authenticity,Painting,Mixed Media on Canvas,20 × 20 in,50.8 × 50.8 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,$,400
356,https://www.artsy.net/artwork/robert-combas-femme-tatouee,Robert Combas,French,1957,Femme tatouée,https://d32dm0rphc51dk.cloudfront.net/itH4meYPS1iznyq7cqLKIA/large.jpg,2019,Make offer,Galerie Perahia,"Drawing, Collage or other Work on Paper",Acrylic on paper,29 9/10 × 22 in,76 × 56 cm,NA,This is a unique work.,"Hand-signed by artist, right",Included,Included,€,"25,900"
357,https://www.artsy.net/artwork/dylan-martinez-glass-water-bottle-number-1,Dylan Martinez,American,1985,Glass Water Bottle #1,https://d32dm0rphc51dk.cloudfront.net/a4gXmLMeCmMuohQJ9aAryg/large.jpg,2020,Certificate of authenticity,This work includes a certificate of authenticity.,Sculpture,Solid and hollow sculpted glass,8 1/4 × 3 × 3 in,21 × 7.6 × 7.6 cm,Excellent,This is a unique work.,"Hand-signed by artist, Signature on base",Included,Not included,$,"1,600"
358,https://www.artsy.net/artwork/leonor-fini-costume-study-for-six-figures,Leonor Fini,"Argentinian, 1907–1996",NA,Costume study for six figures,https://d32dm0rphc51dk.cloudfront.net/jFZ5zOUAFieYf3A_10pNvA/large.jpg,1954-1969,Make offer,OBA/ART,"Drawing, Collage or other Work on Paper","Gouache, ink, grease pencil and watercolor on paper",19 9/10 × 13 2/5 in,50.5 × 34 cm,NA,This is a unique work.,Not signed,NA,Included,€,"6,000"
